dt	Mode	dhsl	pCa
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	8
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
0.002	-2	0	6
